origin_doi,origin_sub_area,target_doi,target_sub_area
10.1016/j.eswa.2023.122418,ai,10.1016/j.eswa.2021.116456,ai
10.1016/j.neucom.2022.01.075,ai,10.1007/s10994-020-05879-3,data
10.1016/j.patcog.2023.109359,vision,10.1016/j.neucom.2022.01.075,ai
10.1109/TFUZZ.2022.3176916,ai,10.1016/j.ins.2021.10.016,data
10.1109/TFUZZ.2022.3176916,ai,10.1016/j.inffus.2019.10.005,data
10.1109/TFUZZ.2022.3176916,ai,10.1016/j.fss.2021.09.005,ai
10.1109/TFUZZ.2022.3176916,ai,10.1016/j.fss.2020.03.019,ai
10.1109/TFUZZ.2022.3176916,ai,10.1016/j.fss.2019.01.024,ai
10.1007/s11042-023-16351-4,graphics,10.1016/j.eswa.2020.114103,ai
10.1016/j.inffus.2022.09.006,data,10.1016/j.knosys.2022.108445,ai
10.1145/3506860.3506908,ai,10.1145/3375462.3375495,ai
10.1145/3576050.3576112,ai,10.1145/3506860.3506908,ai
10.1016/j.eswa.2023.120536,ai,10.1016/j.eswa.2021.115865,ai
10.1145/3449639.3459302,ai,10.1016/j.neucom.2020.10.062,ai
10.1016/j.neucom.2022.05.080,ai,10.1016/j.ins.2021.02.010,data
10.1016/j.neucom.2022.05.080,ai,10.1016/j.inffus.2019.10.005,data
10.1016/j.asoc.2020.106825,ai,10.1016/j.future.2020.01.017,arch
10.1007/s00521-022-08120-5,ai,10.1016/j.asoc.2020.106825,ai
10.1016/j.engappai.2021.104617,ai,10.1016/j.ins.2021.02.010,data
10.1016/j.engappai.2021.104617,ai,10.1016/j.ins.2020.03.091,data
10.1016/j.eswa.2022.119473,ai,10.1016/j.eswa.2020.113437,ai
10.1016/j.neucom.2022.09.030,ai,10.1109/TFUZZ.2019.2922152,ai
10.1145/3512290.3528743,ai,10.1145/3449639.3459318,ai
10.1016/j.eswa.2021.115638,ai,10.1080/01605682.2019.1582590,or
10.1109/TFUZZ.2022.3188918,ai,10.1016/j.ins.2021.10.016,data
10.1109/TFUZZ.2022.3188918,ai,10.1016/j.ins.2021.02.010,data
10.1109/TFUZZ.2022.3188918,ai,10.1016/j.ins.2020.03.091,data
10.1109/TFUZZ.2022.3188918,ai,10.1016/j.fss.2021.09.005,ai
10.1016/j.asoc.2023.110587,ai,10.1080/01605682.2020.1772021,or
10.1016/j.fss.2021.09.005,ai,10.1016/j.ins.2020.03.091,data
10.1016/j.fss.2021.09.005,ai,10.1016/j.inffus.2019.10.005,data
10.1007/s00500-020-05482-7,ai,10.1007/s00500-020-04885-w,ai
10.1016/j.asoc.2022.108860,ai,10.1609/aaai.v35i1.16114,ai
10.1007/s11042-024-18271-3,graphics,10.1016/j.eswa.2022.116731,ai
10.1016/j.engappai.2022.105796,ai,10.1007/s10846-022-01701-5,robotics
10.1145/3448139.3448147,ai,10.1145/3375462.3375496,ai
10.1145/3506860.3506977,ai,10.1145/3375462.3375496,ai
10.1016/j.ijar.2022.05.010,ai,10.1016/j.ins.2021.10.017,data
10.1016/j.engappai.2021.104647,ai,10.1007/s00521-020-04898-4,ai
10.1016/j.imavis.2022.104473,vision,10.1016/j.neucom.2019.09.065,ai
10.1145/3448139.3448147,ai,10.1145/3375462.3375495,ai
10.1145/3506860.3506977,ai,10.1145/3448139.3448147,ai
10.1016/j.asoc.2022.108674,ai,10.1016/j.eswa.2020.114133,ai
10.1016/j.asoc.2022.108860,ai,10.1016/j.eswa.2021.115009,ai
10.1145/3532091,net,10.1016/j.asoc.2020.106990,ai
10.1016/j.engappai.2023.105830,ai,10.1016/j.asoc.2020.106520,ai
10.1016/j.engappai.2023.105830,ai,10.1016/j.cor.2022.105961,or
10.1016/j.knosys.2023.110293,ai,10.1016/j.comcom.2019.10.010,net
10.1111/itor.13221,or,10.1145/3377930.3390209,ai
10.1016/j.cor.2021.105637,or,10.1145/3377930.3390209,ai
10.1007/s00500-022-07600-z,ai,10.1007/s11590-020-01556-5,or
10.1016/j.imavis.2021.104313,vision,10.1007/s00521-020-05009-z,ai
10.1145/3506860.3506977,ai,10.1145/3375462.3375477,ai
10.1145/3506860.3506977,ai,10.1145/3375462.3375495,ai
10.1145/3576050.3576112,ai,10.1145/3506860.3506977,ai
10.1016/j.neucom.2020.12.087,ai,10.1016/j.ejor.2019.11.017,or
10.1007/s10618-023-00922-y,data,10.1016/j.neucom.2020.12.087,ai
10.1016/j.fss.2021.03.001,ai,10.1016/j.ins.2020.03.091,data
10.1016/j.fss.2024.108863,ai,10.1109/TFUZZ.2022.3160326,ai
10.1016/j.fss.2022.06.011,ai,10.1016/j.ins.2020.03.091,data
10.1016/j.neunet.2022.04.028,ai,10.1016/j.inffus.2019.10.005,data
10.1016/j.fss.2022.12.017,ai,10.1016/j.neunet.2022.04.028,ai
10.1016/j.ins.2020.03.091,data,10.1016/j.fss.2019.01.024,ai
10.1016/j.eswa.2023.122436,ai,10.1016/j.comnet.2021.108146,net
10.1016/j.asoc.2023.110177,ai,10.1016/j.asoc.2022.109093,ai
10.1016/j.asoc.2023.111124,ai,10.1016/j.eswa.2022.118670,ai
10.1016/j.ins.2024.120300,data,10.1016/j.engappai.2023.106088,ai
10.1016/j.cor.2022.105961,or,10.1016/j.asoc.2020.106520,ai
10.1145/3576050.3576112,ai,10.1145/3375462.3375495,ai
10.1007/s11227-022-04932-3,arch,10.1016/j.future.2021.07.021,arch
10.1007/s10766-022-00746-1,arch,10.1016/j.future.2021.07.021,arch
10.1002/spe.3056,ds,10.1016/j.future.2021.07.021,arch
10.1109/PDP55904.2022.00013,arch,10.1016/j.future.2021.07.021,arch
10.1109/PDP55904.2022.00013,arch,10.1002/spe.3056,ds
10.1007/s11227-022-04932-3,arch,10.1109/PDP55904.2022.00013,arch
10.1007/s10766-022-00746-1,arch,10.1109/PDP55904.2022.00013,arch
10.1145/3571283,pl,10.1145/3459010,arch
10.1002/cpe.6759,arch,10.1007/s11227-019-02914-6,arch
10.1002/cpe.6759,arch,10.1002/spe.2948,ds
10.1007/s11227-022-05024-y,arch,10.1002/cpe.6759,arch
10.1007/s11227-024-05934-z,arch,10.1002/cpe.6759,arch
10.1007/s11227-021-04033-7,arch,10.1007/s11227-021-03672-0,arch
10.1007/s11227-021-04033-7,arch,10.1007/s11227-020-03218-w,arch
10.1007/s11227-022-04967-6,arch,10.1007/s11227-021-04033-7,arch
